name,address,city,postal,website,waittime_source_url,adapter_key,region,lat,lng,funding_rank
Toronto General Hospital,200 Elizabeth St,Toronto,M5G 2C4,https://www.uhn.ca/OurHospitals/TGH,https://www.uhn.ca/OurHospitals/TGH/Pages/ER_wait_times.aspx,uhn_generic,GTA,43.6591,-79.3883,1
Toronto Western Hospital,399 Bathurst St,Toronto,M5T 2S8,https://www.uhn.ca/OurHospitals/TWH,https://www.uhn.ca/OurHospitals/TWH/Pages/ER_wait_times.aspx,uhn_generic,GTA,43.6534,-79.4057,2
Mount Sinai Hospital,600 University Ave,Toronto,M5G 1X5,https://www.mountsinai.on.ca/,https://www.mountsinai.on.ca/patients/ed-wait-times,sinai_generic,GTA,43.6595,-79.3900,3
St. Michael's Hospital,30 Bond St,Toronto,M5B 1W8,https://www.unityhealth.to/locations/st-michaels-hospital/,https://www.unityhealth.to/patients-and-visitors/er-wait-times/,unity_generic,GTA,43.6537,-79.3775,4
Sunnybrook Health Sciences Centre,2075 Bayview Ave,Toronto,M4N 3M5,https://sunnybrook.ca/,https://sunnybrook.ca/content/?page=emergency-department-wait-times,sunnybrook_generic,GTA,43.7222,-79.3756,5
North York General Hospital,4001 Leslie St,North York,M2K 1E1,https://www.nygh.on.ca/,https://www.nygh.on.ca/emergency-wait-times,nygh_generic,GTA,43.7692,-79.3629,6
Humber River Hospital,1235 Wilson Ave,North York,M3M 0B2,https://www.hrh.ca/,https://www.hrh.ca/emergency-wait-times,humber_generic,GTA,43.7196,-79.5100,7
Scarborough Health Network - General,3050 Lawrence Ave E,Scarborough,M1P 2V5,https://www.shn.ca/,https://www.shn.ca/emergency-wait-times,shn_generic,GTA,43.7547,-79.2483,8
Scarborough Health Network - Centenary,2867 Ellesmere Rd,Scarborough,M1E 4B9,https://www.shn.ca/,https://www.shn.ca/emergency-wait-times,shn_generic,GTA,43.7842,-79.1925,9
Scarborough Health Network - Birchmount,3030 Birchmount Rd,Scarborough,M1W 3W3,https://www.shn.ca/,https://www.shn.ca/emergency-wait-times,shn_generic,GTA,43.8014,-79.2972,10
William Osler Health System - Brampton Civic,2100 Bovaird Dr E,Brampton,L6R 3J7,https://www.williamoslerhs.ca/,https://www.williamoslerhs.ca/en/visiting-us/emergency-department-wait-times.aspx,osler_generic,GTA,43.7431,-79.7422,11
William Osler Health System - Etobicoke General,101 Humber College Blvd,Etobicoke,M9V 1R8,https://www.williamoslerhs.ca/,https://www.williamoslerhs.ca/en/visiting-us/emergency-department-wait-times.aspx,osler_generic,GTA,43.7317,-79.6056,12
Trillium Health Partners - Mississauga Hospital,100 Queensway W,Mississauga,L5B 1B8,https://thp.ca/,https://thp.ca/patients-and-visitors/emergency-wait-times,thp_generic,GTA,43.5828,-79.6078,13
Trillium Health Partners - Credit Valley Hospital,2200 Eglinton Ave W,Mississauga,L5M 2N1,https://thp.ca/,https://thp.ca/patients-and-visitors/emergency-wait-times,thp_generic,GTA,43.5539,-79.7047,14
Trillium Health Partners - Queensway Health Centre,150 Sherway Dr,Etobicoke,M9C 1A5,https://thp.ca/,https://thp.ca/patients-and-visitors/emergency-wait-times,thp_generic,GTA,43.6106,-79.5539,15
Hamilton General Hospital,237 Barton St E,Hamilton,L8L 2X2,https://www.hamiltonhealthsciences.ca/,https://www.hamiltonhealthsciences.ca/emergency-wait-times,hhs_generic,Hamilton,43.2592,-79.8550,16
Juravinski Hospital,711 Concession St,Hamilton,L8V 1C3,https://www.hamiltonhealthsciences.ca/,https://www.hamiltonhealthsciences.ca/emergency-wait-times,hhs_generic,Hamilton,43.2394,-79.8475,17
McMaster Children's Hospital,1200 Main St W,Hamilton,L8N 3Z5,https://www.hamiltonhealthsciences.ca/,https://www.hamiltonhealthsciences.ca/emergency-wait-times,hhs_generic,Hamilton,43.2608,-79.9161,18
St. Joseph's Healthcare Hamilton - Charlton Campus,50 Charlton Ave E,Hamilton,L8N 4A6,https://www.stjoes.ca/,https://www.stjoes.ca/emergency-wait-times,stjoes_hamilton_generic,Hamilton,43.2492,-79.8683,19
London Health Sciences Centre - Victoria Hospital,800 Commissioners Road East,London,N6A 5W9,https://www.lhsc.on.ca/,https://www.lhsc.on.ca/emergency-department/emergency-department-wait-times,lhsc_generic,London,42.9556,-81.2217,20
London Health Sciences Centre - University Hospital,339 Windermere Road,London,N6A 5A5,https://www.lhsc.on.ca/,https://www.lhsc.on.ca/emergency-department/emergency-department-wait-times,lhsc_generic,London,43.0117,-81.2722,21
St. Joseph's Health Care London - Mount Hope,21 Grosvenor Street,London,N6A 1Y6,https://www.sjhc.london.on.ca/,https://www.sjhc.london.on.ca/emergency-wait-times,stjoes_london_generic,London,42.9972,-81.2511,22
The Ottawa Hospital - Civic Campus,1053 Carling Ave,Ottawa,K1Y 4E9,https://www.ottawahospital.on.ca/,https://www.ottawahospital.on.ca/en/patients-visitors/emergency-department-wait-times/,toh_generic,Ottawa,45.3922,-75.7222,23
The Ottawa Hospital - General Campus,501 Smyth Rd,Ottawa,K1H 8L6,https://www.ottawahospital.on.ca/,https://www.ottawahospital.on.ca/en/patients-visitors/emergency-department-wait-times/,toh_generic,Ottawa,45.3989,-75.6489,24
Montfort Hospital,713 Montreal Rd,Ottawa,K1K 0T2,https://hopitalmontfort.com/,https://hopitalmontfort.com/en/emergency-wait-times,montfort_generic,Ottawa,45.4456,-75.6256,25
Queensway Carleton Hospital,3045 Baseline Rd,Nepean,K2H 8P4,https://www.qch.on.ca/,https://www.qch.on.ca/emergency-wait-times,qch_generic,Ottawa,45.3375,-75.8078,26
Kingston Health Sciences Centre - KGH Site,76 Stuart St,Kingston,K7L 2V7,https://khsc.ca/,https://khsc.ca/emergency-wait-times,khsc_generic,Kingston,44.2250,-76.4917,27
Hotel Dieu Hospital (Kingston),166 Brock St,Kingston,K7L 5G2,https://khsc.ca/,https://khsc.ca/emergency-wait-times,khsc_generic,Kingston,44.2325,-76.4867,28
Windsor Regional Hospital - Met Campus,1995 Lens Ave,Windsor,N8W 1L9,https://www.wrh.on.ca/,https://www.wrh.on.ca/ERWaitTimes,wrh_generic,Windsor,42.2981,-82.9972,29
Windsor Regional Hospital - Ouellette Campus,1030 Ouellette Ave,Windsor,N9A 1E1,https://www.wrh.on.ca/,https://www.wrh.on.ca/ERWaitTimes,wrh_generic,Windsor,42.3081,-83.0333,30
Health Sciences North,41 Ramsey Lake Rd,Sudbury,P3E 5J1,https://hsnsudbury.ca/,https://hsnsudbury.ca/emergency-wait-times,hsn_generic,Northern,46.4744,-80.9764,31
Thunder Bay Regional Health Sciences Centre,980 Oliver Rd,Thunder Bay,P7B 6V4,https://tbrhsc.net/,https://tbrhsc.net/emergency-wait-times,tbrhsc_generic,Northern,48.4239,-89.2669,32
Grand River Hospital - KW Campus,835 King St W,Kitchener,N2G 1G3,https://www.grhosp.on.ca/,https://www.grhosp.on.ca/emergency-wait-times,grh_generic,Waterloo,43.4539,-80.5058,33
Grand River Hospital - Freeport Campus,3570 King St E,Kitchener,N2A 2W1,https://www.grhosp.on.ca/,https://www.grhosp.on.ca/emergency-wait-times,grh_generic,Waterloo,43.4244,-80.4283,34
St. Mary's General Hospital,911 Queen's Blvd,Kitchener,N2M 1B2,https://www.smgh.ca/,https://www.smgh.ca/emergency-wait-times,smgh_generic,Waterloo,43.4381,-80.5025,35
Cambridge Memorial Hospital,700 Coronation Blvd,Cambridge,N1R 3G2,https://www.cmh.org/,https://www.cmh.org/emergency-wait-times,cmh_generic,Waterloo,43.3761,-80.3139,36
Guelph General Hospital,115 Delhi St,Guelph,N1E 4J4,https://www.gghorg.ca/,https://www.gghorg.ca/emergency-wait-times,ggh_generic,Waterloo,43.5550,-80.2522,37
Oakville Trafalgar Memorial Hospital,3001 Hospital Gate,Oakville,L6M 0L8,https://www.haltonhealthcare.on.ca/,https://www.haltonhealthcare.on.ca/emergency-wait-times,halton_generic,GTA,43.4731,-79.7422,38
Milton District Hospital,7030 Derry Rd,Milton,L9T 7H6,https://www.haltonhealthcare.on.ca/,https://www.haltonhealthcare.on.ca/emergency-wait-times,halton_generic,GTA,43.5042,-79.8514,39
Georgetown Hospital,1 Princess Anne Dr,Halton Hills,L7G 2B8,https://www.haltonhealthcare.on.ca/,https://www.haltonhealthcare.on.ca/emergency-wait-times,halton_generic,GTA,43.6406,-79.9167,40
Joseph Brant Hospital,1242 Lakeshore Rd,Burlington,L7S 1W7,https://www.josephbranthospital.ca/,https://www.josephbranthospital.ca/emergency-wait-times,jbh_generic,Hamilton,43.3242,-79.8050,41
Mackenzie Health - Richmond Hill,10 Trench St,Richmond Hill,L4C 4Z3,https://www.mackenziehealth.ca/,https://www.mackenziehealth.ca/emergency-wait-times,mackenzie_generic,GTA,43.8711,-79.4442,42
Mackenzie Health - Vaughan,3200 Major Mackenzie Dr W,Vaughan,L6A 4Z3,https://www.mackenziehealth.ca/,https://www.mackenziehealth.ca/emergency-wait-times,mackenzie_generic,GTA,43.8475,-79.5472,43
Southlake Regional Health Centre,596 Davis Dr,Newmarket,L3Y 2P9,https://www.southlakeregional.org/,https://www.southlakeregional.org/emergency-wait-times,southlake_generic,GTA,44.0583,-79.4539,44
Markham Stouffville Hospital,381 Church St,Markham,L3P 7P3,https://www.msh.on.ca/,https://www.msh.on.ca/emergency-wait-times,msh_markham_generic,GTA,43.8831,-79.2483,45
Lakeridge Health - Oshawa,1 Hospital Ct,Oshawa,L1G 2B9,https://www.lakeridgehealth.on.ca/,https://www.lakeridgehealth.on.ca/emergency-wait-times,lakeridge_generic,Durham,43.9100,-78.8683,46
Lakeridge Health - Ajax Pickering,580 Harwood Ave S,Ajax,L1S 2J4,https://www.lakeridgehealth.on.ca/,https://www.lakeridgehealth.on.ca/emergency-wait-times,lakeridge_generic,Durham,43.8344,-79.0208,47
Lakeridge Health - Whitby,300 Gordon St,Whitby,L1N 5T2,https://www.lakeridgehealth.on.ca/,https://www.lakeridgehealth.on.ca/emergency-wait-times,lakeridge_generic,Durham,43.8744,-78.9419,48
